"TIME","GEO","UNIT","TRA_INFR","Value"
"2010","Estonia","Number","Rural roads","65"
"2010","Ireland","Number","Motorways","8"
"2010","Ireland","Number","Urban roads","45"
"2010","Ireland","Number","Rural roads","159"
"2010","Greece","Number","Motorways","87"
"2010","Greece","Number","Urban roads","593"
"2010","Greece","Number","Rural roads","578"
"2010","Spain","Number","Motorways","413"
"2010","Spain","Number","Urban roads","550"
"2010","Spain","Number","Rural roads","1,516"
"2010","France","Number","Motorways","238"
"2010","France","Number","Urban roads","1,133"
"2010","France","Number","Rural roads","2,621"
"2010","Croatia","Number","Motorways","33"
"2010","Croatia","Number","Urban roads","265"
"2010","Croatia","Number","Rural roads","128"
"2010","Italy","Number","Motorways","376"
"2010","Italy","Number","Urban roads","1,782"
"2010","Italy","Number","Rural roads","1,956"
"2010","Cyprus","Number","Motorways","8"
"2010","Cyprus","Number","Urban roads","42"
"2010","Cyprus","Number","Rural roads","10"
"2010","Latvia","Number","Motorways","0"
"2010","Latvia","Number","Urban roads","78"
"2010","Latvia","Number","Rural roads","140"
"2010","Lithuania","Number","Motorways",":"
"2010","Lithuania","Number","Urban roads",":"
"2010","Lithuania","Number","Rural roads",":"
"2010","Luxembourg","Number","Motorways","29"
"2010","Luxembourg","Number","Urban roads","3"
"2010","Luxembourg","Number","Rural roads","0"
"2010","Hungary","Number","Motorways","44"
"2010","Hungary","Number","Urban roads","272"
"2010","Hungary","Number","Rural roads","424"
"2010","Malta","Number","Motorways","0"
"2010","Malta","Number","Urban roads","13"
"2010","Malta","Number","Rural roads","0"
"2010","Netherlands","Number","Motorways","63"
"2010","Netherlands","Number","Urban roads","199"
"2010","Netherlands","Number","Rural roads","254"
"2010","Austria","Number","Motorways","59"
"2010","Austria","Number","Urban roads","141"
"2010","Austria","Number","Rural roads","352"
"2010","Poland","Number","Motorways","28"
"2010","Poland","Number","Urban roads","1,813"
"2010","Poland","Number","Rural roads","2,067"
"2010","Portugal","Number","Motorways","111"
"2010","Portugal","Number","Urban roads","484"
"2010","Portugal","Number","Rural roads","342"
"2010","Romania","Number","Motorways","18"
"2010","Romania","Number","Urban roads","1,493"
"2010","Romania","Number","Rural roads","866"
"2010","Slovenia","Number","Motorways","19"
"2010","Slovenia","Number","Urban roads","60"
"2010","Slovenia","Number","Rural roads","59"
"2010","Slovakia","Number","Motorways","14"
"2010","Slovakia","Number","Urban roads","157"
"2010","Slovakia","Number","Rural roads","200"
"2010","Finland","Number","Motorways","4"
"2010","Finland","Number","Urban roads","63"
"2010","Finland","Number","Rural roads","205"
"2010","Sweden","Number","Motorways","23"
"2010","Sweden","Number","Urban roads","67"
"2010","Sweden","Number","Rural roads","170"
"2010","United Kingdom","Number","Motorways","112"
"2010","United Kingdom","Number","Urban roads","597"
"2010","United Kingdom","Number","Rural roads","1,196"
"2010","Iceland","Number","Motorways","0"
"2010","Iceland","Number","Urban roads","4"
"2010","Iceland","Number","Rural roads","4"
"2010","Liechtenstein","Number","Motorways","0"
"2010","Liechtenstein","Number","Urban roads","0"
"2010","Liechtenstein","Number","Rural roads","0"
"2010","Norway","Number","Motorways","0"
"2010","Norway","Number","Urban roads","34"
"2010","Norway","Number","Rural roads","166"
"2010","Switzerland","Number","Motorways","23"
"2010","Switzerland","Number","Urban roads","114"
"2010","Switzerland","Number","Rural roads","190"
"2011","Belgium","Number","Motorways","120"
"2011","Belgium","Number","Urban roads","281"
"2011","Belgium","Number","Rural roads","461"
"2011","Bulgaria","Number","Motorways",":"
"2011","Bulgaria","Number","Urban roads",":"
"2011","Bulgaria","Number","Rural roads",":"
"2011","Czech Republic","Number","Motorways","21"
"2011","Czech Republic","Number","Urban roads","280"
"2011","Czech Republic","Number","Rural roads","472"
"2011","Denmark","Number","Motorways","12"
"2011","Denmark","Number","Urban roads","69"
"2011","Denmark","Number","Rural roads","139"
"2011","Germany (until 1990 former territory of the FRG)","Number","Motorways","453"
"2011","Germany (until 1990 former territory of the FRG)","Number","Urban roads","1,115"
"2011","Germany (until 1990 former territory of the FRG)","Number","Rural roads","2,441"
"2011","Estonia","Number","Motorways","0"
"2011","Estonia","Number","Urban roads","25"
"2011","Estonia","Number","Rural roads","76"
"2011","Ireland","Number","Motorways","9"
"2011","Ireland","Number","Urban roads","38"
"2011","Ireland","Number","Rural roads","139"
"2011","Greece","Number","Motorways","81"
"2011","Greece","Number","Urban roads","559"
"2011","Greece","Number","Rural roads","501"
"2011","Spain","Number","Motorways","337"
"2011","Spain","Number","Urban roads","457"
"2011","Spain","Number","Rural roads","1,266"
"2011","France","Number","Motorways","268"
"2011","France","Number","Urban roads","1,096"
"2011","France","Number","Rural roads","2,599"
"2011","Croatia","Number","Motorways","23"
"2011","Croatia","Number","Urban roads","252"
"2011","Croatia","Number","Rural roads","143"
"2011","Italy","Number","Motorways","338"
"2011","Italy","Number","Urban roads","1,744"
"2011","Italy","Number","Rural roads","1,778"
"2011","Cyprus","Number","Motorways","7"
"2011","Cyprus","Number","Urban roads","40"
"2011","Cyprus","Number","Rural roads","24"
"2011","Latvia","Number","Motorways","0"
"2011","Latvia","Number","Urban roads","53"
"2011","Latvia","Number","Rural roads","126"
"2011","Lithuania","Number","Motorways",":"
"2011","Lithuania","Number","Urban roads",":"
"2011","Lithuania","Number","Rural roads",":"
"2011","Luxembourg","Number","Motorways","4"
"2011","Luxembourg","Number","Urban roads","7"
"2011","Luxembourg","Number","Rural roads","22"
"2011","Hungary","Number","Motorways","49"
"2011","Hungary","Number","Urban roads","234"
"2011","Hungary","Number","Rural roads","355"
"2011","Malta","Number","Motorways",":"
"2011","Malta","Number","Urban roads",":"
"2011","Malta","Number","Rural roads",":"
"2011","Netherlands","Number","Motorways","43"
"2011","Netherlands","Number","Urban roads","233"
"2011","Netherlands","Number","Rural roads","266"
"2011","Austria","Number","Motorways","46"
"2011","Austria","Number","Urban roads","139"
"2011","Austria","Number","Rural roads","338"
"2011","Poland","Number","Motorways","37"
"2011","Poland","Number","Urban roads","1,959"
"2011","Poland","Number","Rural roads","2,193"
"2011","Portugal","Number","Motorways","84"
"2011","Portugal","Number","Urban roads","487"
"2011","Portugal","Number","Rural roads","320"
"2011","Romania","Number","Motorways","16"
"2011","Romania","Number","Urban roads","1,271"
